vassdragNr,vatnLnr,"Land principally occupied by agriculture, with significant areas of natural vegetation",Broad-leaved forest,Moors and heathland,Sparsely vegetated areas,Peat bogs,Water bodies,Discontinuous urban fabric,Non-irrigated arable land,Coniferous forest,Transitional woodland-shrub,Complex cultivation patterns,Water courses,Mixed forest,Industrial or commercial units,Green urban areas,Sport and leisure facilities,Continuous urban fabric,Road and rail networks and associated land,Airports,Pastures,Bare rocks,Mineral extraction sites,Inland marshes,Glaciers and perpetual snow,Sea and ocean,Port areas,Natural grasslands,Intertidal flats,mean_ndsi,fractional_snow_cover,mean_ndvi,total_road_length,road_density,total_ditch_length,ditch_density,unbuilt,res_built,nres_built,total_population,population_density,gHM
021.D2,1063,4.590847561241866,0,12.308851141871534,18.366446880048905,0,0.444740404349155,0,0,63.61643596349504,0.41351906030304353,0,0.25915898869045023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432576797858822,0.6068649711164746,0.71288837303487,12268.907153351014,0.00105700950923321,1633.702800408542,1.407492430832447e-4,0.997837,0.001678,4.92e-4,45.68480361176468,3.970739898958841,0.2494406620239479
021.D1,1063,3.870915327676476,15.097129445748331,3.996028163928507,32.46903773244268,0,2.111933562014804,5.912980682433652,0,35.34861888427514,0,0,0.02545585845820545,1.167900343022206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3222910916716541,0.3804668255312472,0.7099903357756326,13256.61431481539,0.0015527143919245,1726.9216417031057,2.0227005350842772e-4,0.95708,0.035672,0.007285,373.0493233058819,44.07899756190828,0.30393853375073954
021.D4,1063,1.2534268152904666,9.730256293386775,9.598434221903467,11.731047225815676,0.9124768473522754,2.44719855755374,0,0,49.54096873582633,5.614279681750239,0,0,9.171911621121025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38994975050144337,0.49366022905112233,0.7393879467722196,27920.78593393147,6.837473783838123e-4,2183.550577073632,5.3472598736132e-5,0.999052,7.36e-4,1.98e-4,79.49012958039214,1.963882809280456,0.08144845242096815
021.D51,1063,1.906259057994668,1.9906044930264863,9.357120660975744,17.245899584539977,0,0.69460946496792,0,2.7392681532005567,56.810436898908215,2.688608665905904,0,0,6.567193020480534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3279962968122891,0.36761378588377097,0.7511704556949699,34656.73958016571,0.00119054128625804,3826.6073269590047,1.3145304677331823e-4,0.99265,0.006581,7.05e-4,212.9919811607836,7.380907502422504,0.09953413098472648
021.D62,1063,0,5.992349156668405,33.9358372456964,28.320639888715004,0,0.5978090766823162,0,0,17.382194400973745,0,0,0,13.77117023126413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4954804991386202,0.6953043371169585,0.7272930897315846,10375.40858884382,4.908118959976566e-4,257.5956800478057,1.2185642911548993e-5,0.999977,0,3.2e-5,2.000072,0.0954550871888756,0.07480367323018841
021.D30,1063,4.431662952045438,5.83626908236873,1.694586239125746,5.074651904042946,0.9624463776451698,3.201763845951063,0,0,63.97464471445347,5.106525750712968,0,0,9.717449133654467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3467492785140282,0.34947497249889115,0.7642014437947992,47459.36042610758,0.00124702564043284,11617.950962724375,3.0526923687405774e-4,0.995451,0.004052,4.82e-4,164.22551974901916,4.3528378567973345,0.14593172833001025
021.D52,1063,0,0,0,0,0,2.038388626981034,0,7.0627221292766755,64.12060978789859,20.46065180384355,0,0,6.3176276520001515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15788921697650712,0.10615591265016278,0.7351591530314449,8149.559815637087,0.00264107845654476,633.339957802854,2.0525041303612096e-4,0.977233,0.020356,0.002571,41.00147600000003,13.40463350667485,0.276376858870533
021.D5A0,1063,0,0.04114511424626722,20.56432810028436,3.424873593065677,0,0.03428759520522268,0,7.520641132313544,62.16066709945232,6.254057365432618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3134396074565369,0.30571340890497134,0.7867521945666353,8004.731957693782,0.00131304723896835,1753.172709138838,2.875797212618526e-4,0.983674,0.013691,0.002585,98.05451022745083,16.225141717765094,0.20121445335679455
026.C,1399,12.747829438238265,10.922414460686763,0,1.5223197321668158,0,1.7591410320366092,1.7495961431445186,0,69.38702003166021,0,0,0,1.9116791620668103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03645621746563254,0.03773343085786049,0.7363610039494621,34320.30578587584,0.00135907494638581,16517.775336015748,6.540994934388718e-4,0.982697,0.01607,0.001209,786.8977350313719,31.48226514962226,0.3776636864048721
026.BA21,1399,13.367229508242849,0,0,0,0,1.2993846352972294,53.378878387389946,0,30.93199474393569,0,0,0,1.0225127251342856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02989051940419951,0,0.6032433618254263,7422.285330195086,0.01138194383253153,187.48501876784303,2.875049742934932e-4,0.674316,0.305921,0.019354,716.9370185803922,1110.8885683658702,0.4582094429946336
026.B21,1399,0,11.869109566609657,39.57643462756086,48.03159455623886,0,0.5210418107055784,0,0,0,0,0,0,0.00181943888504785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13001126923530254,0.00623153791027797,0.6987240101976274,20246.731517209588,0.0014657750083822,174.44928714309546,1.2629367120668096e-5,0.989013,0.010844,8.4e-5,1.7212269999999998,0.12592496917737334,0.2211730790258658
026.B1,1399,1.941515979651419,16.117071754157614,8.795420013586464,15.087715659176826,0,1.7081606936356235,0,0,47.86739196946675,0,0,0,8.482723930325298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01090063713935404,0.0024575042673491,0.7271719305205958,15056.02330327001,7.768342837553001e-4,4049.5938648275087,2.089438416849346e-4,0.999136,6.76e-4,1.82e-4,86.95908800392152,4.533584647890154,0.2637900402298356
026.B9,1399,7.642418244743007,17.351012261191904,32.89862851328156,14.825810563746456,2.236423511520377,1.8542746439893325,0.5797927953616577,0,19.163074411401286,0,0,0,3.448565054764421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14284252155604554,0.2000028857009272,0.7464149094071301,20584.039287879015,0.00114502107921562,4522.206841867228,2.515552018772219e-4,0.996455,0.00325,3.99e-4,286.2313472117648,16.08717173761246,0.3770652268263351
026.A,1399,0,0,9.259008746355684,77.03463556851312,0,0,0,0,0,0,0,0,13.706355685131197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0518961220225022,0,0.6135110764326207,6214.674638829419,0.00201841073020383,544.6570372943103,1.76894475132641e-4,0.987393,0.010116,0.00238,114.5598986666666,37.601580313524416,0.31973495226208665
026.B2A,1399,0,33.01514742977524,0.03225538198688113,66.95259718823787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20260330095249088,0,0.6322930299866716,296.8025078914871,8.259177527418121e-4,30.259556107555415,8.420381875093233e-5,0.999633,0,0,0,0,0.15271879092735402
026.B22,1399,8.124594843857679,20.382651444042953,26.844086714150457,20.051982683345297,0,4.021398379170935,0.7662435660693362,0,14.37355958683787,0,0,0,5.435482782525475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14228244698971626,0.18821031767056232,0.712688872069075,40169.36371274456,0.00106233983567577,10607.765959380144,2.805384826795153e-4,0.996084,0.00331,5.94e-4,472.4898544784314,12.62663895675376,0.30182986742163165
050.CD2,1907,0,0,61.51875434468309,38.48124565531691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6834503133779041,1,0.5909915483198237,0,0,0,0,0.999395,0,0,0,0,0.07144469078960854
050.CB,1907,0,0.00461956443281854,64.05488042546187,35.122259659942316,0,0.818240350162984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6743403965480603,0.999774066501413,0.6252508335847248,36.89818997742941,2.0699879752528785e-6,109.3883868909108,6.1366870742170195e-6,0.999901,5.8e-5,0,0,0,0.0909984309283977
050.CC0,1907,0,0,90.5408817736478,7.319366154778508,0,2.1397520715736964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6545572522468888,1,0.6296389391744047,0,0,0,0,1.000577,0,0,0,0,0.07106183923466443
050.CA,1907,0,65.92083032453556,23.609244408818743,0,9.397123301396888,1.0728019652488174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6477910857662872,1,0.6617960711393356,4000.825576340871,0.00343543831725945,403.2767117137334,3.4628659546484406e-4,0.993208,0.003651,0.003029,1.867375411764706,1.6179972762999144,0.2382795301512775
062.E15,2085,68.54940971778514,0,0,0,0,31.45059028221486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47170207347770793,0.6222694252417621,0.7418746369654471,756.9618519561741,0.0058200234248795,22.06878114187119,1.6967938724033049e-4,0.896567,0.086219,0.017117,0,0,0.4836615868236708
