vassdragNr,innsjo_nr,year,Coniferous forest,Transitional woodland-shrub,Peat bogs,Water bodies,Non-irrigated arable land,"Land principally occupied by agriculture, with significant areas of natural vegetation",Discontinuous urban fabric,Mixed forest,Sea and ocean,Broad-leaved forest,Moors and heathland,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Complex cultivation patterns,Sport and leisure facilities,Water courses,Natural grasslands,Continuous urban fabric,Industrial or commercial units,Road and rail networks and associated land,Port areas,Green urban areas,Mineral extraction sites,Pastures,NA,total_pop,pop_density
002.LF0,126,2010,19.930056613369,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0.04547888368383439,0,0,0,0,0,0,0,0,0,0,33,0.9814845449585592
002.LF0,126,2011,19.930056613369,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0.04547888368383439,0,0,0,0,0,0,0,0,0,0,7,0.20819369135484592
002.LF0,126,2012,19.930056613369,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0.04547888368383439,0,0,0,0,0,0,0,0,0,0,3,0.0892258677235054
002.DJCB,233,1993,0,0,0,0.6108013856861392,0,0,0,0,0,0,5.649125972802447,60.90913096664408,32.83094167486734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.EB3B,3838,1987,71.87530285502582,16.240757938021908,8.027759001618088,0.3778403967814869,0,3.478339808552687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,8.95675075074825
002.EB11A,281,1987,85.83494766122223,5.023961161106684,6.731369360380614,0,0,2.4097218172904773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,4.379285884886253
002.A5B,3497,1998,72.7952825967142,0.982734760095578,1.0214359883412552,12.721301052362415,1.423825098092064,6.4864295179796585,0.5803456503447691,0,0,0.126297311819597,0,0,0,0,2.735520298275895,1.1268277259745714,0,0,0,0,0,0,0,0,0,0,1227,23.4412900340186
002.CF2B2A,5013,2009,99.9987653680808,0,0,0.00123463191918593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,18.29549857804288
002.DJ1C,231,1996,0,0,0,0.38704409651713334,0,0,0,0,0,0,0,80.31783566355088,19.295120239931993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.DJ1C,231,2004,0,0,0,0.38704409651713334,0,0,0,0,0,0,0,80.31783566355088,19.295120239931993,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1.5595397072873776
002.DJ1C,231,2008,0,0,0,0.38704409651713334,0,0,0,0,0,0,0,80.31783566355088,19.295120239931993,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.95849172543066
002.DAC1C,252,2010,56.12986089442634,34.87000123359142,9.000137871982236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3.785284203938433
002.G6D7,238,1987,66.53775327278201,12.944405420871494,20.517841306346497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3.9797307883436432
002.M62,32130,1998,14.864574011350632,2.116066472580626,2.605435164312335,0.04938998833218165,0,0,0,11.960986440409163,0,5.254822887048722,9.528642794838971,0.8863010750252047,51.87557347893562,0,0,0,0.8582076871665326,0,0,0,0,0,0,0,0,0,8,0.1822214602455353
002.M62,32130,2002,14.864574011350632,2.116066472580626,2.605435164312335,0.04938998833218165,0,0,0,11.960986440409163,0,5.254822887048722,9.528642794838971,0.8863010750252047,51.87557347893562,0,0,0,0.8582076871665326,0,0,0,0,0,0,0,0,0,36,0.8199965711049088
002.M62,32130,2006,14.864574011350632,2.116066472580626,2.605435164312335,0.04938998833218165,0,0,0,11.960986440409163,0,5.254822887048722,9.528642794838971,0.8863010750252047,51.87557347893562,0,0,0,0.8582076871665326,0,0,0,0,0,0,0,0,0,15,0.3416652379603787
002.G6D4,238,1987,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.2238273793663157
002.JAAAA,282,1988,72.32131571848183,17.817209757717187,9.86147452380099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2.3606054669460588
002.JAAAA,282,1998,72.32131571848183,17.817209757717187,9.86147452380099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.DJB0,34723,1993,1.591549156417782,0,1.601083699798605,0.7015984751926473,0,0,0,9.900004227580556,0,16.584888468329577,23.21211570618135,7.303010487098234,39.10574977940125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.DJB0,34750,1993,1.593076679982821,0,1.6026203743469098,0.4545859702290757,0,0,0,9.909505969760897,0,16.60080617206921,23.37880993732674,7.31001970862921,39.15057518765514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LG,32160,1993,10.929992632024064,0,1.545701123585268,0,0,0.7912601475334676,0,1.6335867050072002,0,4.469491236912939,3.3008035193992304,35.875374766566864,41.453789868970965,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.1458252557883089
002.LE,126,1985,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,88,1.1677047482052665
002.LE,126,1986,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,88,1.1677047482052665
002.LE,126,1987,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,88,1.1677047482052665
002.LE,126,1988,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,88,1.1677047482052665
002.LE,126,1989,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,88,1.1677047482052665
002.LE,126,1990,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,88,1.1677047482052665
002.LE,126,1991,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,5,0.06634686069348106
002.LE,126,1992,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,5,0.06634686069348106
002.LE,126,1993,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,4,0.05307748855478484
002.LE,126,1994,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,88,1.1677047482052665
002.LE,126,1995,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,86,1.1411660039278742
002.LE,126,1996,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,4,0.05307748855478484
002.LE,126,1997,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,4,0.05307748855478484
002.LE,126,1998,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,4,0.05307748855478484
002.LE,126,1999,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,4,0.05307748855478484
002.LE,126,2000,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,99,1.3136678417309249
002.LE,126,2001,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,104,1.3800147024244058
002.LE,126,2002,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,112,1.4861696795339756
002.LE,126,2003,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,108,1.4330921909791907
002.LE,126,2004,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,104,1.3800147024244058
002.LE,126,2005,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,97,1.2871290974535323
002.LE,126,2006,28.37161189535947,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,0.8972053373162213,0,0,0,0,0,0,0,0,0,0,45,0.5971217462413294
002.LE,126,2007,27.639729835639898,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,1.629087397035792,0,0,0,0,0,0,0,0,0,0,46,0.6103911183800257
002.LE,126,2008,27.639729835639898,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,1.629087397035792,0,0,0,0,0,0,0,0,0,0,96,1.2738597253148365
002.LE,126,2009,27.639729835639898,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,1.629087397035792,0,0,0,0,0,0,0,0,0,0,97,1.2871290974535323
002.LE,126,2010,27.639729835639898,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,1.629087397035792,0,0,0,0,0,0,0,0,0,0,24,0.31846493132870907
002.LE,126,2011,27.639729835639898,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,1.629087397035792,0,0,0,0,0,0,0,0,0,0,20,0.26538744277392423
002.LE,126,2012,27.639729835639898,0,2.5464798544416283,0.3231258633952097,0,0,0,3.278625798083939,0,14.444610104907056,4.632086437817732,6.100072700020715,39.35089832684399,0,0.05528368181404364,1.629087397035792,0,0,0,0,0,0,0,0,0,0,10,0.13269372138696212
002.JE5,33329,1998,55.16027662196142,0,19.85060725433442,0.00448547629161928,0,2.863053131785932,0,5.604206849058445,0,0.2522420785169432,0,0,16.26512858805122,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.47773003436073447
002.JE5,33329,2002,55.16027662196142,0,19.85060725433442,0.00448547629161928,0,2.863053131785932,0,5.604206849058445,0,0.2522420785169432,0,0,16.26512858805122,0,0,0,0,0,0,0,0,0,0,0,0,0,51,2.436423175239746
002.G6D3,238,1987,61.569150413957885,38.425293104406286,0,0.00555648163582819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3391118274784737
002.SD,35348,1993,0,0,0.8275327622711484,1.078204416012146,0,0,0,0,0,1.6418202557720707,15.505662846625718,3.0373180505336657,77.83651384525967,0,0,0,0,0.07294782352557425,0,0,0,0,0,0,0,0,0,0
002.SD,128,1993,0,0,0.8248617184159344,1.0747242743049463,0,0,0,0,0,1.6365209200774813,15.754149432784413,3.027514439021122,77.60951684700254,0,0,0,0,0.072712368393569,0,0,0,0,0,0,0,0,0,0
002.SD,35330,1993,0,0,0.8305440202219414,1.0821278275896962,0,0,0,0,0,1.6477945742817066,15.862676510445292,3.0483703599354772,77.45527343866256,0,0,0,0,0.07321326886332928,0,0,0,0,0,0,0,0,0,0
002.SD,35344,1993,0,0,0.8333532414375243,0.2512402748911027,0,0,0,0,0,1.6533680530670427,15.779362462871385,3.0586811279135513,78.3505339353544,0,0,0,0,0.07346090446498961,0,0,0,0,0,0,0,0,0,0
002.SC,128,1993,0,0,0,0.4466687110704464,0,0,0,0,0,36.36340785352685,38.93709436599185,0,24.25282906941086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.DAC1A,252,2010,54.87660224398125,34.91959391257771,3.39054360065831,2.5031333360438826,0.05692153490156287,0.8117505846831574,0,3.4414547871541177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,6.781103712308854
002.CF2C1,4977,1987,91.113516387528,5.290911852948995,0,0.3888952185636702,0,0,0,0,0,3.206676540959325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,14.329135120401874
002.CF2B22,5013,2009,99.0020947282672,0,0,0.997905271732806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,95.54916853128474
002.DGF5B,274,1988,0,0,0,1.4107565835307232,0,0,0,0,0,0,6.103989596395895,53.69196352545942,34.481677581162046,4.311612713451922,0,0,0,0,0,0,0,0,0,0,0,0,33,2.3103829177548554
002.DGF5B,274,1983,0,0,0,1.4107565835307232,0,0,0,0,0,0,6.103989596395895,53.69196352545942,34.481677581162046,4.311612713451922,0,0,0,0,0,0,0,0,0,0,0,0,33,2.3103829177548554
002.DGF5B,274,1986,0,0,0,1.4107565835307232,0,0,0,0,0,0,6.103989596395895,53.69196352545942,34.481677581162046,4.311612713451922,0,0,0,0,0,0,0,0,0,0,0,0,33,2.3103829177548554
002.G6D5,238,1987,57.22825164029332,33.448707062910074,8.727441142416055,0.595600154380548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2.333102553892526
002.EB1B,235,1987,57.30851609736507,0,41.84924477365521,0.8422391289797193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,4.441691372860322
002.DJD0,34671,1993,0,0,2.233644566003332,1.5150979282592978,0,0,0,0,0,0,13.61308906284385,35.091876512936594,47.54629192995693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.DJ1B,231,1996,3.692720104320825,0,5.471680796631753,0,0,0,0,0.2405344530231242,0,4.22197238251479,6.871675442923736,24.008703599603827,51.38183027980773,0,0,4.110882941174221,0,0,0,0,0,0,0,0,0,0,37,0.7116535017168035
002.DJ1B,231,2004,3.692720104320825,0,5.471680796631753,0,0,0,0,0.2405344530231242,0,4.41986837526434,6.673779450174187,24.008703599603827,51.38183027980773,0,0,4.110882941174221,0,0,0,0,0,0,0,0,0,0,136,2.6158074657698727
002.DJ1B,231,2008,3.692720104320825,0,5.471680796631753,0,0,0,0,0.2405344530231242,0,4.41986837526434,6.673779450174187,24.008703599603827,51.38183027980773,0,0,4.110882941174221,0,0,0,0,0,0,0,0,0,0,177,3.40439648118579
002.DJ1B,32237,1996,3.6979311269183266,0,5.479402219179919,0,0,0,0,0.24087388586254105,0,4.22793026528678,6.754042488008961,24.042583745799543,51.44055221008493,0,0,4.116684058859009,0,0,0,0,0,0,0,0,0,0,37,0.7126579371894323
002.LD,126,1985,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LD,126,1986,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LD,126,1987,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LD,126,1988,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LD,126,1989,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LD,126,1990,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LD,126,1991,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LD,126,1992,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LD,126,1993,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,1,0.00998569661488199
002.LD,126,1994,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,1,0.00998569661488199
002.LD,126,1995,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,1,0.00998569661488199
002.LD,126,1996,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,1,0.00998569661488199
002.LD,126,1997,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,2,0.01997139322976398
002.LD,126,1998,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,3,0.02995708984464596
002.LD,126,1999,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,3,0.02995708984464596
002.LD,126,2000,38.86951610389636,0.2779357710285708,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,48,0.4793134375143354
002.LD,126,2001,38.422833614743304,0.7246182601816311,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,194,1.937225143287106
002.LD,126,2002,38.422833614743304,0.7246182601816311,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,214,2.1369390755847455
002.LD,126,2003,38.422833614743304,0.7246182601816311,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,210,2.096996289125218
002.LD,126,2004,38.422833614743304,0.7246182601816311,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,190,1.897282356827578
002.LD,126,2005,38.422833614743304,0.7246182601816311,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,177,1.767468300834112
002.LD,126,2006,38.422833614743304,0.7246182601816311,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,79,0.7888700325756771
002.LD,126,2007,38.422833614743304,0.7246182601816311,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,56,0.5591990104333914
002.LD,126,2008,38.422833614743304,0.7246182601816311,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,75,0.7489272461161492
002.LD,126,2009,38.422833614743304,0.7246182601816311,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,75,0.7489272461161492
002.LD,126,2010,38.422833614743304,0.7246182601816311,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,66,0.6590559765822113
002.LD,126,2011,38.422833614743304,0.7246182601816311,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,31,0.30955659506134164
002.LD,126,2012,38.422833614743304,0.7246182601816311,7.619807688299003,0.3970511014693869,0,1.121669361651018,0,0.6093741779801415,0,20.149251509042344,4.3471139844375815,0.44281124091373375,25.454152012999455,0,0.7113170482824066,0,0,0,0,0,0,0,0,0,0,0,24,0.23965671875716776
002.S3,35326,1989,0,0,7.475853888794752,25.92711384377042,1.1679697901285373,2.2101861489675874,0,0,0,51.11592554041297,4.608941928299968,0,7.494008859625765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.S3,35326,1998,0,0,7.475853888794752,25.92711384377042,1.1679697901285373,2.2101861489675874,0,0,0,51.11592554041297,4.608941928299968,0,7.494008859625765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.S3,35326,2002,0,0,7.475853888794752,25.92711384377042,1.1679697901285373,2.2101861489675874,0,0,0,51.11592554041297,4.608941928299968,0,7.494008859625765,0,0,0,0,0,0,0,0,0,0,0,0,0,182,2.21614857261055
002.DAC1B,252,2010,35.58158459727128,42.086536463744025,5.147228570768982,1.652930720040631,0,0,0,15.531719648175082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.8876142075451553
002.EB11B,281,1987,56.17111831765261,9.799621584409625,33.157908409572094,0.8713516883656689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2.650412704734951
002.EB1A,235,1987,85.02992912748721,4.169461416913664,9.201706362710809,0.6981344953846024,0,0.9007685975037174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,4.633776820819299
002.CF2B21,5013,2009,98.60085745117291,0,1.1191584923636293,0.27998405646345137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,31.486594872848205
002.CF2B1,5013,2009,63.71220684933688,32.274833224537886,0,4.012959926125237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30.45772551960958
002.A2B,5844,1988,81.45433788697211,0,0.9556951686645044,0,9.19335803787908,8.36742597354448,0,0,0,0,0,0,0,0,0,0,0.02918293293982259,0,0,0,0,0,0,0,0,0,2114,68.6523185492312
002.DJAB,34679,1995,0,0,1.189854377268878,2.1266011690088296,0,0,0,0,0,0,8.5443056715286545,47.15748455830535,39.533699314821064,1.448054909067221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.DJAB,34672,1995,0,0,1.175608751415973,3.1686201634571276,0,0,0,0,0,0,8.442008294559855,46.722899912935205,39.060144920752315,1.430717956879523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
